Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000186,2010-12-01,2010-12-06,,David Lynch,Twin Peaks,1946-01-20
2,nm0000040,2010-12-01,2010-12-06,,Stanley Kubrick,2001: A Space Odyssey,1928-07-26
3,nm0000975,2010-12-01,2010-12-06,,Robert Bresson,Journal d'un curé de campagne,1901-09-25
4,nm0000033,2010-12-01,2010-12-06,,Alfred Hitchcock,Psycho,1899-08-13
5,nm0000217,2010-12-01,2010-12-06,,Martin Scorsese,Taxi Driver,1942-11-17
6,nm0000142,2010-12-01,2010-12-01,,Clint Eastwood,Million Dollar Baby,1930-05-31
7,nm0943758,2010-12-01,2010-12-06,,William Wyler,Ben-Hur,1902-07-01
8,nm0000697,2010-12-01,2010-12-06,,Billy Wilder,The Apartment,1906-06-22
9,nm0000406,2010-12-01,2010-12-01,,John Ford,The Quiet Man,1894-02-01
10,nm0000485,2010-12-01,2010-12-06,,Fritz Lang,Le mépris,1890-12-05
11,nm0003593,2010-12-01,2010-12-01,,Fred Zinnemann,A Man for All Seasons,1907-04-29
12,nm0001486,2010-12-01,2010-12-06,,Sidney Lumet,12 Angry Men,1924-06-25
13,nm0000338,2010-12-01,2010-12-01,,Francis Ford Coppola,Apocalypse Now,1939-04-07
14,nm0000399,2010-12-01,2010-12-01,,David Fincher,Se7en,1962-08-28
15,nm0001120,2010-12-01,2010-12-06,,Vittorio De Sica,Ladri di biciclette,1901-07-07
16,nm0001466,2010-12-01,2010-12-06,,Sergio Leone,Once Upon a Time in America,1929-01-03
17,nm0000019,2010-12-01,2010-12-01,,Federico Fellini,Le notti di Cabiria,1920-01-20
18,nm0000005,2010-12-01,2010-12-06,,Ingmar Bergman,Persona,1918-07-14
19,nm0001415,2010-12-01,2010-12-06,,Elia Kazan,On the Waterfront,1909-09-07
20,nm0001379,2010-12-01,2010-12-01,,John Huston,The Treasure of the Sierra Madre,1906-08-05
21,nm0000766,2010-12-01,2010-12-06,,Theodoros Angelopoulos,Mia aioniotita kai mia mera,1935-04-27
22,nm0000041,2010-12-01,2010-12-01,,Akira Kurosawa,Kakushi-toride no san-akunin,1910-03-23
23,nm0939182,2010-12-01,2010-12-06,,Kar-Wai Wong,Yi dai zong shi,1956-07-17
24,nm0955443,2010-12-01,2010-12-01,,Yimou Zhang,Ying xiong,1951-11-14
25,nm0594503,2010-12-01,2010-12-01,,Hayao Miyazaki,Sen to Chihiro no kamikakushi,1941-01-05
26,nm0155280,2010-12-01,2010-12-06,,Kaige Chen,Ba wang bie ji,1952-08-12
27,nm0578483,2011-03-30,2011-03-30,,Jean-Pierre Melville,Le Samouraï,1917-10-20
28,nm0201094,2010-12-01,2010-12-06,,Jean-Pierre Dardenne,"Deux jours, une nuit",1951-04-21
29,nm0000466,2010-12-01,2010-12-01,,Jean-Pierre Jeunet,Un long dimanche de fiançailles,1953-09-03
30,nm0000419,2010-12-01,2010-12-06,,Jean-Luc Godard,Bande à part,1930-12-03
31,nm0000122,2010-12-01,2010-12-06,,Charles Chaplin,The Great Dictator,1889-04-16
32,nm0000036,2011-11-16,2011-11-16,,Buster Keaton,The General,1895-10-04
33,nm0001789,2010-12-01,2010-12-01,,Andrei Tarkovsky,Solyaris,1932-04-04
34,nm0001603,2010-12-01,2010-12-06,,Sam Peckinpah,The Wild Bunch,1925-02-21
35,nm0000116,2010-12-01,2010-12-06,,James Cameron,Avatar,1954-08-16
36,nm0005237,2010-12-01,2010-12-01,,Anthony Minghella,The Talented Mr. Ripley,1954-01-06
37,nm0001008,2010-12-01,2010-12-06,,Frank Capra,It's a Wonderful Life,1897-05-18
38,nm0000080,2010-12-01,2010-12-06,,Orson Welles,Citizen Kane,1915-05-06
39,nm0000318,2010-12-01,2010-12-01,,Tim Burton,Edward Scissorhands,1958-08-25
40,nm0000464,2010-12-01,2010-12-06,,Jim Jarmusch,Broken Flowers,1953-01-22
41,nm0000591,2010-12-01,2010-12-01,,Roman Polanski,Chinatown,1933-08-18
42,nm0000934,2010-12-01,2010-12-06,,Bernardo Bertolucci,Ultimo tango a Parigi,1941-03-16
43,nm0001425,2010-12-01,2010-12-06,,Krzysztof Kieslowski,Trois couleurs: Bleu,1941-06-27
44,nm0005222,2010-12-01,2010-12-01,,Sam Mendes,1917,1965-08-01
45,nm0000520,2010-12-01,2010-12-06,,Michael Mann,The Insider,1943-02-05
46,nm0000165,2010-12-01,2010-12-06,,Ron Howard,Arrested Development,1954-03-01
47,nm0001814,2010-12-01,2010-12-01,,Gus Van Sant,Elephant,1952-07-24
48,nm0000759,2010-12-01,2010-12-06,,Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
49,nm0027572,2010-12-01,2010-12-06,,Wes Anderson,Fantastic Mr. Fox,1969-05-01
50,nm0001104,2010-12-01,2010-12-06,,Frank Darabont,The Shawshank Redemption,1959-01-28
51,nm0000229,2010-12-01,2010-12-01,,Steven Spielberg,Schindler's List,1946-12-18
52,nm0000095,2010-12-01,2010-12-06,,Woody Allen,Manhattan,1935-11-30
53,nm0000233,2010-12-01,2010-12-01,,Quentin Tarantino,Reservoir Dogs,1963-03-27
54,nm0001675,2010-12-01,2010-12-06,,Robert Rodriguez,El mariachi,1968-06-20
55,nm0000264,2010-12-01,2010-12-01,,Pedro Almodóvar,Hable con ella,1949-09-25
56,nm0327944,2010-12-01,2010-12-06,,Alejandro G. Iñárritu,Biutiful,1963-08-15
57,nm0190859,2010-12-01,2010-12-06,,Alfonso Cuarón,Gravity,1961-11-28
58,nm0001392,2010-12-01,2010-12-01,,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
59,nm0000316,2010-12-01,2010-12-06,,Mel Brooks,Spaceballs,1926-06-28
60,nm0112218,2010-12-01,2010-12-01,,Richard Brooks,In Cold Blood,1912-05-18
61,nm0001328,2010-12-01,2010-12-06,,Howard Hawks,Rio Bravo,1896-05-30
62,nm0001175,2010-12-17,2010-12-17,,Blake Edwards,The Pink Panther Strikes Again,1922-07-26
63,nm0744035,2010-12-01,2010-12-01,,Robert Rossen,The Hustler,1908-03-16
64,nm0001437,2011-03-30,2011-03-30,,Emir Kusturica,Underground,1954-11-24
65,nm0868153,2010-12-01,2010-12-06,,Giuseppe Tornatore,La migliore offerta,1956-05-27
66,nm0359734,2010-12-01,2010-12-06,,Michael Haneke,Caché,1942-03-23
67,nm0878756,2010-12-01,2010-12-01,,Tom Tykwer,Lola rennt,1965-05-23
68,nm0634240,2010-12-01,2010-12-06,,Christopher Nolan,Tenet,1970-07-30
69,nm0000343,2010-12-01,2010-12-01,,David Cronenberg,The Fly,1943-03-15
70,nm0001054,2010-12-01,2010-12-06,"Coen Brothers
""Ethan Coen""",Joel Coen,The Ballad of Buster Scruggs,1954-11-29
71,nm0001752,2010-12-01,2010-12-06,,Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
72,nm0001885,2010-12-01,2010-12-01,,Lars von Trier,Dancer in the Dark,1956-04-30
73,nm0000076,2010-12-01,2010-12-06,,François Truffaut,La nuit américaine,1932-02-06
74,nm0000320,2010-12-02,2010-12-06,,Luis Buñuel,Belle de jour,1900-02-22
75,nm0000774,2010-12-02,2010-12-02,,Michelangelo Antonioni,L'avventura,1912-09-29
76,nm0001628,2010-12-02,2010-12-06,,Sydney Pollack,Tootsie,1934-07-01
77,nm0001566,2010-12-02,2010-12-06,,Mike Nichols,The Graduate,1931-11-06
78,nm0005069,2010-12-02,2010-12-02,,Spike Jonze,Her,1969-10-22
79,nm0006487,2010-12-02,2010-12-02,,Jim Sheridan,In America,1949-02-06
80,nm0002031,2010-12-06,2010-12-06,,Michael Curtiz,Casablanca,1886-12-24
81,nm0000180,2010-12-06,2010-12-06,,David Lean,Lawrence of Arabia,1908-03-25
82,nm0000631,2010-12-06,2010-12-06,,Ridley Scott,The Martian,1937-11-30
83,nm0001429,2010-12-06,2010-12-06,,Takeshi Kitano,Zatôichi,1947-01-18
84,nm0002545,2010-12-06,2010-12-06,,Preston Sturges,Sullivan's Travels,1898-08-29
85,nm0000231,2010-12-06,2010-12-06,,Oliver Stone,JFK,1946-09-15
86,nm0001232,2010-12-06,2010-12-06,,Milos Forman,One Flew Over the Cuckoo's Nest,1932-02-18
87,nm0000265,2010-12-06,2010-12-06,,Robert Altman,Gosford Park,1925-02-20
88,nm0002020,2010-12-06,2010-12-06,,Costa-Gavras,Z,1933-02-12
89,nm0906667,2010-12-06,2010-12-06,,Andrzej Wajda,Popiól i diament,1926-03-06
90,nm0896542,2010-12-06,2010-12-06,,King Vidor,The Crowd,1894-02-08
91,nm0003433,2011-03-31,2011-03-31,,Carl Theodor Dreyer,La passion de Jeanne d'Arc,1889-02-03
92,nm0003638,2011-11-16,2011-11-16,,F.W. Murnau,Sunrise: A Song of Two Humans,1888-12-28
93,nm0000428,2010-12-06,2010-12-06,,D.W. Griffith,Intolerance: Love's Struggle Throughout the Ages,1875-01-22
94,nm0719756,2010-12-06,2010-12-06,,Jean Renoir,La règle du jeu,1894-09-15
95,nm0001202,2010-12-06,2010-12-06,,Rainer Werner Fassbinder,Faustrecht der Freiheit,1945-05-31
96,nm0000154,2010-12-06,2010-12-06,,Mel Gibson,Braveheart,1956-01-03
97,nm0001348,2010-12-06,2010-12-06,,Werner Herzog,Fitzcarraldo,1942-09-05
98,nm0000361,2010-12-17,2010-12-17,,Brian De Palma,Body Double,1940-09-11
99,nm0000416,2010-12-17,2010-12-17,,Terry Gilliam,Brazil,1940-11-22
100,nm0070159,2015-02-04,2015-02-04,,Jafar Panahi,Taxi,1960-07-11
